Radial	Estacao	Campanha	MO	COT	Fenois	NTotal	NHx	NO3	NO2	PTotal	PO4	H2S	S	As	Ba	Cd	Pb	Cu	Fe	Mn	Hg	Ni	V	Zn
R100	A01	PRE	1.19	<LQ	<LQ	459.4	<LQ	1.13	0.12	311	<LQ	<LQ	1380	<LQ	16	<LQ	3.36	5.19	12900	851	<LQ	9.01	22.8	28
R100	A02	PRE	0.97	<LQ	<LQ	398	<LQ	1.13	0.12	377	<LQ	<LQ	894	<LQ	13.6	<LQ	3.56	4.85	12800	392	<LQ	8.14	21.8	30.5
R100	A03	PRE	1.09	<LQ	<LQ	311.5	<LQ	1.13	0.12	319	<LQ	<LQ	950	<LQ	13.7	<LQ	3.66	4.14	11100	735	<LQ	7.68	18.1	25.4
R100	A04	PRE	1.03	<LQ	<LQ	655.7	<LQ	1.13	0.12	366	<LQ	<LQ	1230	<LQ	17.4	<LQ	3.37	5.28	13400	530	<LQ	9.26	25.8	30.4
R250	A05	PRE	0.86	<LQ	<LQ	395.3	<LQ	1.13	0.12	333	<LQ	<LQ	882	<LQ	16.5	<LQ	3.65	4.63	12100	739	<LQ	8.56	21.5	30.4
R250	A06	PRE	1.31	<LQ	<LQ	410.1	<LQ	1.13	0.12	389	<LQ	<LQ	875	<LQ	22.1	<LQ	3.29	5.07	12800	501	<LQ	8.39	24.3	29
R250	A07	PRE	1.43	<LQ	<LQ	397.6	<LQ	1.13	0.12	335	<LQ	<LQ	1730	<LQ	14	<LQ	3.67	6.16	14200	449	<LQ	8.96	24.8	32.5
R250	A08	PRE	1.41	<LQ	<LQ	727.3	<LQ	1.15	0.12	369	<LQ	<LQ	966	<LQ	18.1	<LQ	4.03	5.83	14400	978	<LQ	10.5	26.8	31.3
R500	A09	PRE	0.62	<LQ	<LQ	239.7	<LQ	1.13	0.12	329	<LQ	<LQ	801	<LQ	13	<LQ	3.05	4.21	11300	348	<LQ	6.77	19.2	24.1
R500	A10	PRE	1.05	<LQ	10.7	347	<LQ	1.13	0.12	368	<LQ	<LQ	632	<LQ	20.7	<LQ	2.98	4.75	12700	504	<LQ	8.38	23	29.5
R500	A11	PRE	1.14	<LQ	<LQ	640.2	<LQ	1.13	0.12	342	<LQ	<LQ	1160	<LQ	23.3	<LQ	3.69	5.5	13500	235	<LQ	8.79	25.5	31.7
R500	A12	PRE	1.12	<LQ	<LQ	304.3	<LQ	1.13	0.12	308	<LQ	<LQ	1120	<LQ	19.4	<LQ	3.39	4.82	12400	695	<LQ	8.3	23.5	27.3
R1000	A13	PRE	0.98	<LQ	<LQ	238.5	<LQ	1.13	0.12	330	<LQ	<LQ	863	<LQ	20.1	<LQ	2.69	4	11500	364	<LQ	6.77	21.2	25.1
R1000	A14	PRE	0.74	<LQ	<LQ	347.8	<LQ	1.14	0.12	275	<LQ	<LQ	888	<LQ	21.4	<LQ	2.75	3.59	10600	600	<LQ	6.81	19.6	25.3
R1000	A15	PRE	0.88	<LQ	<LQ	500	<LQ	1.13	0.12	335	<LQ	<LQ	1050	<LQ	20.6	<LQ	3.25	5.68	13900	1200	<LQ	10.2	26.3	31.5
R1000	A16	PRE	1.03	<LQ	<LQ	241.7	<LQ	1.13	0.12	353	<LQ	<LQ	1330	<LQ	9.98	<LQ	3.95	4.67	12000	310	<LQ	8.27	20.3	26.5
R100	A01	POS	<LQ	<LQ	<LQ	319	<LQ	1.14	0.12	443	<LQ	<LQ	1070	<LQ	54	<LQ	4.4	4.5	11800	737	<LQ	9.3	23	31
R100	A02	POS	0.3	<LQ	<LQ	462	<LQ	1.06	0.12	442	<LQ	<LQ	2920	<LQ	2980	<LQ	14	13	15100	502	<LQ	9.7	28	38
R100	A03	POS	0.9	<LQ	<LQ	417	<LQ	1.06	0.12	492	<LQ	<LQ	3220	<LQ	4000	<LQ	8.9	8.1	14100	569	<LQ	10	27	34
R100	A04	POS	0.3	<LQ	<LQ	374	<LQ	1.13	0.12	489	<LQ	<LQ	2420	<LQ	3080	<LQ	6.6	6.3	12700	279	<LQ	9.2	24	32
R250	A05	POS	1.6	0.9	<LQ	284	<LQ	1.13	0.12	476	<LQ	<LQ	1180	<LQ	209	<LQ	4.8	5.4	13800	848	<LQ	11	27	32
R250	A06	POS	<LQ	<LQ	<LQ	544	<LQ	1.06	0.12	482	<LQ	<LQ	1500	<LQ	493	<LQ	4.6	4.6	12700	530	<LQ	9.4	23	29
R250	A07	POS	<LQ	<LQ	<LQ	384	<LQ	1.06	0.12	471	<LQ	<LQ	1380	<LQ	718	<LQ	4.4	4.8	12600	514	<LQ	9.2	23	30
R250	A08	POS	0.3	<LQ	<LQ	347	<LQ	1.13	0.12	589	<LQ	<LQ	1280	<LQ	353	<LQ	5.1	6.8	14900	759	<LQ	12	31	39
R500	A09	POS	<LQ	<LQ	<LQ	315	<LQ	1.06	0.12	467	<LQ	<LQ	1320	<LQ	36	<LQ	3.6	4.1	12200	271	<LQ	8.4	21	29
R500	A10	POS	1.3	<LQ	<LQ	398	<LQ	1.06	0.12	463	<LQ	<LQ	1010	<LQ	32	<LQ	4.2	4.4	12000	920	<LQ	9.6	23	30
R500	A11	POS	0.5	<LQ	<LQ	323	<LQ	1.06	0.12	494	<LQ	<LQ	1310	<LQ	17	<LQ	3.8	3.9	10900	691	<LQ	8.5	22	26
R500	A12	POS	<LQ	<LQ	<LQ	288	<LQ	1.06	0.12	547	<LQ	<LQ	1270	<LQ	24	<LQ	4.5	4.6	12100	460	<LQ	9.5	22	30
R1000	A13	POS	<LQ	<LQ	<LQ	362	<LQ	1.06	0.12	515	<LQ	<LQ	16600	<LQ	22	<LQ	3.6	3.4	9950	418	<LQ	7.6	16	25
R1000	A14	POS	<LQ	<LQ	<LQ	344	<LQ	1.06	0.12	564	<LQ	<LQ	1270	<LQ	76	<LQ	3.7	3.9	11000	531	<LQ	8.2	20	27
R1000	A15	POS	0.6	<LQ	<LQ	519	<LQ	1.13	0.12	493	<LQ	<LQ	1100	<LQ	19	<LQ	4.1	5.3	13800	565	<LQ	10	27	31
R1000	A16	POS	<LQ	<LQ	<LQ	268	<LQ	1.06	0.12	394	<LQ	<LQ	1670	<LQ	24	<LQ	4.2	3.9	9950	738	<LQ	8.8	19	25
