Radial	Estacao	Campanha	MO	COT	Fenois	NTotal	NHx	NO3	NO2	PTotal	PO4	H2S	S	As	Ba	Cd	Pb	Cu	Fe	Mn	Hg	Ni	V	Zn
R100	B01	PRE	1	0,6	<LQ	650	17	0,6	0,07	112	<LQ	<LQ	1530	<LQ	26	<LQ	5,5	3,2	13000	693	<LQ	12	28	34
R100	B02	PRE	1,3	0,8	<LQ	549	13	0,6	0,09	<LQ	<LQ	<LQ	731	<LQ	15	<LQ	3,7	1,8	7940	338	<LQ	7	17	22
R100	B03	PRE	1	0,6	<LQ	614	16	0,6	0,1	176	<LQ	<LQ	1310	<LQ	33	<LQ	5,4	3,8	14700	839	<LQ	14	35	38
R100	B04	PRE	1,5	0,9	<LQ	743	12	0,6	0,09	263	<LQ	<LQ	2330	<LQ	33	<LQ	5,8	4	16900	771	<LQ	15	38	41
R250	B05	PRE	1	0,6	<LQ	443	19	0,7	0,08	226	<LQ	<LQ	1650	<LQ	35	<LQ	6,1	3,9	15700	948	<LQ	15	36	39
R250	B06	PRE	0,9	0,5	<LQ	586	5,4	0,6	0,07	<LQ	<LQ	<LQ	2520	<LQ	21	<LQ	3,7	2,3	9600	510	<LQ	8,8	22	25
R250	B07	PRE	1,2	0,7	<LQ	301	20,1	0,6	0,14	<LQ	<LQ	<LQ	1320	<LQ	26	<LQ	4,2	3	11700	731	<LQ	11	27	30
R250	B08	PRE	0,9	0,5	<LQ	530	20,1	6	0,08	95	<LQ	<LQ	1120	<LQ	29	<LQ	5,6	3,4	14000	1020	<LQ	13	31	35
R500	B09	PRE	1,1	0,6	<LQ	557	20,6	0,6	0,07	<LQ	<LQ	<LQ	1310	<LQ	20	<LQ	3,8	2	8280	658	<LQ	7,9	19	22
R500	B10	PRE	0,9	0,5	<LQ	281	26,7	0,6	0,07	133	<LQ	<LQ	1620	<LQ	34	<LQ	5,5	4	15100	803	<LQ	13	35	39
R500	B11	PRE	1,1	0,6	<LQ	349	13,1	0,8	0,07	195	<LQ	<LQ	1190	<LQ	29	<LQ	5,2	3,7	14400	677	<LQ	13	30	35
R500	B12	PRE	1,3	0,8	<LQ	518	18,1	0,6	0,16	30	<LQ	<LQ	1220	<LQ	31	<LQ	4,9	3,4	12600	1240	<LQ	12	28	33
R1000	B13	PRE	0,5	<LQ	<LQ	484	28	0,8	0,12	178	<LQ	<LQ	692	<LQ	27	<LQ	4,5	2,6	12800	777	<LQ	11	27	33
R1000	B14	PRE	1,1	0,6	<LQ	772	14	0,7	0,08	112	<LQ	<LQ	1780	<LQ	31	<LQ	5,4	3,6	14500	759	<LQ	13	31	36
R1000	B15	PRE	1	0,6	<LQ	584	13	0,6	0,07	169	<LQ	<LQ	1520	<LQ	34	<LQ	5,9	4,3	15700	769	<LQ	15	35	39
R1000	B16	PRE	2	1,2	<LQ	487	31	0,8	0,07	<LQ	<LQ	<LQ	795	<LQ	21	<LQ	4,3	2,4	9050	465	<LQ	8,5	20	28
R100	B01	POS	1,4	<LQ	<LQ	<LQ	<LQ	1,1	0,1154	375	<LQ	<LQ	934	<LQ	160	<LQ	4,8	5,1	11600	557	<LQ	9,1	21	29
R100	B02	POS	0,9	<LQ	<LQ	349,6	<LQ	1,1	0,1151	340	<LQ	<LQ	2130	<LQ	750	<LQ	4,1	7	14200	565	<LQ	11	27	33
R100	B03	POS	1,3	<LQ	<LQ	783,3	<LQ	1,1	0,1151	369	<LQ	<LQ	1470	<LQ	738	<LQ	4,3	6,8	16300	489	<LQ	11	32	36
R100	B04	POS	1,5	<LQ	<LQ	515,9	<LQ	1,1	0,1151	353	<LQ	<LQ	1890	<LQ	238	<LQ	4,5	7,3	15900	948	<LQ	13	31	37
R250	B05	POS	1,2	<LQ	<LQ	359,4	<LQ	1,1	0,1151	357	<LQ	<LQ	644	<LQ	22,2	<LQ	3,8	5,8	13600	586	<LQ	9,5	27	30
R250	B06	POS	1,3	<LQ	<LQ	225,9	<LQ	1,1282	0,1151	283	<LQ	<LQ	1200	<LQ	338	<LQ	4,1	7,5	14600	684	<LQ	12	28	35
