Radial	Estacao	Campanha	MO	COT	Fenois	NTotal	NHx	NO3	NO2	PTotal	PO4	H2S	S	As	Ba	Cd	Pb	Cu	Fe	Mn	Hg	Ni	V	Zn
R100	C01	PRE	2,84	1,65	<LQ	526,00	16,20	0,65	0,10	<LQ	0,53	<LQ	1750,00	<LQ	24,90	<LQ	4,45	2,79	10400,00	520,00	<LQ	9,89	23,50	28,00
R100	C02	PRE	4,76	2,76	<LQ	810,90	11,40	0,70	0,11	240,00	0,53	<LQ	1810,00	<LQ	38,10	<LQ	6,38	4,82	18400,00	974,00	<LQ	16,70	40,70	44,40
R100	C03	PRE	2,97	1,72	<LQ	804,50	19,90	0,66	0,08	<LQ	0,53	<LQ	848,00	<LQ	22,80	<LQ	3,99	2,71	8910,00	647,00	<LQ	8,47	20,20	22,10
R100	C04	PRE	2,31	1,34	<LQ	594,10	18,20	0,64	0,07	65,00	0,53	<LQ	1730,00	<LQ	35,20	<LQ	5,84	4,04	13900,00	976,00	<LQ	14,40	32,00	38,60
R250	C05	PRE	3,26	1,89	<LQ	573,80	14,20	0,94	0,24	<LQ	0,61	<LQ	1490,00	<LQ	25,10	<LQ	4,81	2,28	10600,00	877,00	<LQ	10,60	23,50	28,70
R250	C06	PRE	2,38	1,38	<LQ	452,60	12,80	0,67	0,10	405,00	0,54	<LQ	2660,00	<LQ	43,20	<LQ	8,48	4,71	19700,00	1570,00	<LQ	21,40	42,90	51,6
R250	C07	PRE	4,34	2,52	<LQ	503,60	41,80	0,70	0,07	237,00	0,53	<LQ	3340,00	<LQ	40,00	<LQ	7,03	4,34	17000,00	1030,00	<LQ	16,30	37,90	42,60
R250	C08	PRE	3,76	2,18	<LQ	585,20	13,90	0,63	0,09	191,00	0,56	<LQ	2180,00	<LQ	24,30	<LQ	6,13	3,28	12700,00	1170,00	<LQ	14,90	25,40	33,50
R500	C09	PRE	3,65	2,12	<LQ	364,50	18,00	0,63	0,11	<LQ	0,60	<LQ	1450,00	<LQ	26,30	<LQ	4,81	3,04	11300,00	737,00	<LQ	11,70	25,70	28,30
R500	C10	PRE	3,65	2,12	<LQ	423,50	15,00	0,71	0,11	<LQ	0,67	<LQ	1810,00	<LQ	23,70	<LQ	5,00	3,10	11700,00	681,00	<LQ	11,90	25,50	30,70
R500	C11	PRE	2,36	1,37	<LQ	569,00	26,40	0,75	0,41	163,00	0,77	<LQ	1920,00	<LQ	35,90	<LQ	6,61	4,39	16300,00	1220,00	<LQ	17,20	36,50	41,00
R500	C12	PRE	2,53	1,47	<LQ	352,70	<LQ	0,72	0,11	360,00	0,57	<LQ	2900,00	<LQ	42,10	<LQ	7,48	5,27	19300,00	1280,00	<LQ	19,50	40,70	47,50
R1000	C13	PRE	3,14	1,82	<LQ	574,80	<LQ	0,75	0,42	298,00	0,53	<LQ	2670,00	<LQ	40,00	<LQ	6,65	4,84	18900,00	1090,00	<LQ	18,20	40,70	46,80
